Machine Learning Method,ML Method Parameters,Text Normalization,Text Representation,Avg F-Score
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.596345753
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.63755102
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.367596533
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.615823691
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.640955005
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.52841452
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.516959013
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.635261694
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.702567562
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.581551913
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.363567122
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.635342657
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: False,0.664212023
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.52841452
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.516959013
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.516959013
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.516959013
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.581551913
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.367844961
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.569984768
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Binarización - SVD: True,0.588962636
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.420282575
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.365593087
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.359085894
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.361243201
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.615290722
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.359219295
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.698935509
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: False,0.66047397
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.420282575
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.365593087
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.365593087
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.365593087
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.615290722
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.360025482
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.660212023
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",TF-IDF - SVD: True,0.692040816
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.881953782
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.911929825
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.911929825
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.911929825
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.807506172
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.415691075
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.826309565
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.943263305
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.872164015
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.911929825
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.911929825
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.911929825
